ENTSTATION,EXTSTATION,Fare
Archives-Navy Memorial-Penn Quarter,Federal Triangle,2.25
Archives-Navy Memorial-Penn Quarter,Tysons Corner,5.05
Archives-Navy Memorial-Penn Quarter,Federal Center SW,2.25
Archives-Navy Memorial-Penn Quarter,New Carrollton,4.35
Archives-Navy Memorial-Penn Quarter,Friendship Heights,3.25
Archives-Navy Memorial-Penn Quarter,Huntington,3.95
Archives-Navy Memorial-Penn Quarter,King St-Old Town,3.65
Archives-Navy Memorial-Penn Quarter,Crystal City,2.45
Archives-Navy Memorial-Penn Quarter,White Flint,5.05
Archives-Navy Memorial-Penn Quarter,Takoma,3.35
Archives-Navy Memorial-Penn Quarter,Smithsonian,2.25
Archives-Navy Memorial-Penn Quarter,Bethesda,3.7
Archives-Navy Memorial-Penn Quarter,Shady Grove,6.0
Archives-Navy Memorial-Penn Quarter,Prince George's Plaza,3.6
Archives-Navy Memorial-Penn Quarter,Dunn Loring-Merrifield,4.95
Archives-Navy Memorial-Penn Quarter,Judiciary Square,2.25
Archives-Navy Memorial-Penn Quarter,Stadium-Armory,2.25
Archives-Navy Memorial-Penn Quarter,Gallery Pl-Chinatown,2.25
Archives-Navy Memorial-Penn Quarter,Brookland-CUA,2.45
Archives-Navy Memorial-Penn Quarter,Eastern Market,2.25
Archives-Navy Memorial-Penn Quarter,Van Ness-UDC,2.65
Archives-Navy Memorial-Penn Quarter,Capitol Heights,3.4
Archives-Navy Memorial-Penn Quarter,Rockville,5.9
Archives-Navy Memorial-Penn Quarter,Greensboro,5.25
Archives-Navy Memorial-Penn Quarter,Rhode Island Ave-Brentwood,2.25
Archives-Navy Memorial-Penn Quarter,Fort Totten,2.8
Archives-Navy Memorial-Penn Quarter,West Falls Church-VT/UVA,4.3
Archives-Navy Memorial-Penn Quarter,Columbia Heights,2.25
Archives-Navy Memorial-Penn Quarter,Suitland,3.5
Archives-Navy Memorial-Penn Quarter,Eisenhower Avenue,3.8
Archives-Navy Memorial-Penn Quarter,Foggy Bottom-GWU,2.25
Archives-Navy Memorial-Penn Quarter,Ballston-MU,3.05
Archives-Navy Memorial-Penn Quarter,Pentagon City,2.3
Archives-Navy Memorial-Penn Quarter,Metro Center,2.25
Archives-Navy Memorial-Penn Quarter,Morgan Boulevard,4.1
Archives-Navy Memorial-Penn Quarter,Wheaton,4.65
Archives-Navy Memorial-Penn Quarter,Virginia Square-GMU,2.85
Archives-Navy Memorial-Penn Quarter,Addison Road-Seat Pleasant,3.7
Archives-Navy Memorial-Penn Quarter,Tenleytown-AU,3.0
Archives-Navy Memorial-Penn Quarter,Deanwood,3.1
Archives-Navy Memorial-Penn Quarter,Medical Center,4.0
Archives-Navy Memorial-Penn Quarter,Georgia Ave-Petworth,2.35
Archives-Navy Memorial-Penn Quarter,Dupont Circle,2.25
Archives-Navy Memorial-Penn Quarter,McPherson Square,2.25
Archives-Navy Memorial-Penn Quarter,Landover,3.95
Archives-Navy Memorial-Penn Quarter,Spring Hill,5.45
Archives-Navy Memorial-Penn Quarter,Ronald Reagan Washington National Airport,2.55
Archives-Navy Memorial-Penn Quarter,Benning Road,2.95
Archives-Navy Memorial-Penn Quarter,Farragut West,2.25
Archives-Navy Memorial-Penn Quarter,Twinbrook,5.35
Archives-Navy Memorial-Penn Quarter,Wiehle-Reston East,6.0
Archives-Navy Memorial-Penn Quarter,Cheverly,3.4
Waterfront,Silver Spring,4.1
Waterfront,Rosslyn,2.55
Waterfront,Farragut North,2.25
Waterfront,Southern Avenue,2.5
Waterfront,West Hyattsville,3.6
Waterfront,Congress Heights,2.25
